Function,Variant,Run,Best
F1,IFPOA-X (full),1,2.062837e-03
F1,IFPOA-X (full),2,9.207661e-02
F1,IFPOA-X (full),3,7.568795e-02
F1,IFPOA-X (full),4,5.247428e-02
F1,IFPOA-X (full),5,1.271611e-01
F1,IFPOA-X (full),6,1.261397e-01
F1,IFPOA-X (full),7,8.553477e+00
F1,IFPOA-X (full),8,2.449140e+00
F1,IFPOA-X (full),9,1.729961e-04
F1,IFPOA-X (full),10,1.182443e-01
F1,IFPOA-X (full),11,5.167263e+00
F1,IFPOA-X (full),12,9.151188e-02
F1,IFPOA-X (full),13,5.935352e+00
F1,IFPOA-X (full),14,6.955852e-01
F1,IFPOA-X (full),15,6.365446e+00
F1,IFPOA-X (full),16,1.534072e+00
F1,IFPOA-X (full),17,4.583180e-03
F1,IFPOA-X (full),18,1.551438e-02
F1,IFPOA-X (full),19,6.670205e-01
F1,IFPOA-X (full),20,4.140586e+00
F5,IFPOA-X (full),1,3.563325e+01
F5,IFPOA-X (full),2,2.917991e+01
F5,IFPOA-X (full),3,2.897904e+01
F5,IFPOA-X (full),4,2.953815e+01
F5,IFPOA-X (full),5,2.898704e+01
F5,IFPOA-X (full),6,2.903767e+01
F5,IFPOA-X (full),7,2.898642e+01
F5,IFPOA-X (full),8,2.899485e+01
F5,IFPOA-X (full),9,2.899344e+01
F5,IFPOA-X (full),10,2.900826e+01
F5,IFPOA-X (full),11,5.134000e+01
F5,IFPOA-X (full),12,2.897736e+01
F5,IFPOA-X (full),13,2.943976e+01
F5,IFPOA-X (full),14,4.377804e+01
F5,IFPOA-X (full),15,2.947216e+01
F5,IFPOA-X (full),16,2.899924e+01
F5,IFPOA-X (full),17,2.899471e+01
F5,IFPOA-X (full),18,2.895290e+01
F5,IFPOA-X (full),19,2.907355e+01
F5,IFPOA-X (full),20,2.932759e+01
F8,IFPOA-X (full),1,8.758653e+03
F8,IFPOA-X (full),2,8.298363e+03
F8,IFPOA-X (full),3,8.671650e+03
F8,IFPOA-X (full),4,8.565589e+03
F8,IFPOA-X (full),5,8.913310e+03
F8,IFPOA-X (full),6,8.992106e+03
F8,IFPOA-X (full),7,8.596753e+03
F8,IFPOA-X (full),8,8.662821e+03
F8,IFPOA-X (full),9,9.210595e+03
F8,IFPOA-X (full),10,8.736889e+03
F8,IFPOA-X (full),11,8.014777e+03
F8,IFPOA-X (full),12,8.866668e+03
F8,IFPOA-X (full),13,7.844070e+03
F8,IFPOA-X (full),14,8.845915e+03
F8,IFPOA-X (full),15,8.186575e+03
F8,IFPOA-X (full),16,8.929714e+03
F8,IFPOA-X (full),17,9.012249e+03
F8,IFPOA-X (full),18,8.135737e+03
F8,IFPOA-X (full),19,8.909718e+03
F8,IFPOA-X (full),20,8.907863e+03
F9,IFPOA-X (full),1,6.088536e-03
F9,IFPOA-X (full),2,1.702592e-03
F9,IFPOA-X (full),3,2.170650e+00
F9,IFPOA-X (full),4,1.164469e-01
F9,IFPOA-X (full),5,6.909387e-03
F9,IFPOA-X (full),6,6.765921e-03
F9,IFPOA-X (full),7,6.467095e-02
F9,IFPOA-X (full),8,1.586233e-03
F9,IFPOA-X (full),9,5.802480e-04
F9,IFPOA-X (full),10,1.884178e+00
F9,IFPOA-X (full),11,4.615635e+00
F9,IFPOA-X (full),12,2.344870e-02
F9,IFPOA-X (full),13,3.546533e+00
F9,IFPOA-X (full),14,3.283361e-02
F9,IFPOA-X (full),15,3.130415e-02
F9,IFPOA-X (full),16,1.671493e+01
F9,IFPOA-X (full),17,1.572361e-05
F9,IFPOA-X (full),18,2.674852e+00
F9,IFPOA-X (full),19,5.594164e-03
F9,IFPOA-X (full),20,1.369365e-01
F10,IFPOA-X (full),1,2.108413e-01
F10,IFPOA-X (full),2,1.011114e-01
F10,IFPOA-X (full),3,7.123786e-02
F10,IFPOA-X (full),4,1.074555e+00
F10,IFPOA-X (full),5,5.377723e-01
F10,IFPOA-X (full),6,1.188477e-01
F10,IFPOA-X (full),7,9.622111e-01
F10,IFPOA-X (full),8,3.393908e-02
F10,IFPOA-X (full),9,4.706328e-01
F10,IFPOA-X (full),10,4.886550e-01
F10,IFPOA-X (full),11,9.825548e-01
F10,IFPOA-X (full),12,3.810936e-02
F10,IFPOA-X (full),13,3.461176e-03
F10,IFPOA-X (full),14,1.560410e+00
F10,IFPOA-X (full),15,1.615236e-01
F10,IFPOA-X (full),16,1.399074e-01
F10,IFPOA-X (full),17,2.906072e-03
F10,IFPOA-X (full),18,2.924078e-01
F10,IFPOA-X (full),19,1.481447e+00
F10,IFPOA-X (full),20,6.119204e-01
F13,IFPOA-X (full),1,4.282643e+00
F13,IFPOA-X (full),2,3.799187e+00
F13,IFPOA-X (full),3,3.118878e+00
F13,IFPOA-X (full),4,3.202397e+00
F13,IFPOA-X (full),5,3.352977e+00
F13,IFPOA-X (full),6,3.314615e+00
F13,IFPOA-X (full),7,3.331428e+00
F13,IFPOA-X (full),8,2.883688e+00
F13,IFPOA-X (full),9,3.218594e+00
F13,IFPOA-X (full),10,3.113369e+00
F13,IFPOA-X (full),11,3.249488e+00
F13,IFPOA-X (full),12,3.055918e+00
F13,IFPOA-X (full),13,3.411569e+00
F13,IFPOA-X (full),14,4.137877e+00
F13,IFPOA-X (full),15,3.041477e+00
F13,IFPOA-X (full),16,3.041230e+00
F13,IFPOA-X (full),17,2.998259e+00
F13,IFPOA-X (full),18,2.976419e+00
F13,IFPOA-X (full),19,3.007011e+00
F13,IFPOA-X (full),20,2.967356e+00
F1,IFPOA-X (no OBL),1,1.538387e+04
F1,IFPOA-X (no OBL),2,1.868104e+04
F1,IFPOA-X (no OBL),3,1.638468e+04
F1,IFPOA-X (no OBL),4,1.767410e+04
F1,IFPOA-X (no OBL),5,1.400610e+04
F1,IFPOA-X (no JADE),1,7.509452e-11
F1,IFPOA-X (no JADE),2,2.267085e-08
F1,IFPOA-X (no JADE),3,1.602892e-08
F1,IFPOA-X (no JADE),4,7.665967e-10
F1,IFPOA-X (no JADE),5,2.542343e-08
F1,IFPOA-X (no Bandit),1,4.152519e-01
F1,IFPOA-X (no Bandit),2,7.384903e+00
F1,IFPOA-X (no Bandit),3,8.506469e-04
F1,IFPOA-X (no Bandit),4,3.120507e-01
F1,IFPOA-X (no Bandit),5,1.226843e+00
F1,IFPOA-X (base/FPA),1,1.903256e+04
F1,IFPOA-X (base/FPA),2,1.684222e+04
F1,IFPOA-X (base/FPA),3,2.040105e+04
F1,IFPOA-X (base/FPA),4,1.596454e+04
F1,IFPOA-X (base/FPA),5,2.305076e+04
F5,IFPOA-X (no OBL),1,1.920019e+07
F5,IFPOA-X (no OBL),2,2.020744e+07
F5,IFPOA-X (no OBL),3,2.509038e+07
F5,IFPOA-X (no OBL),4,4.179416e+07
F5,IFPOA-X (no OBL),5,1.767100e+07
F5,IFPOA-X (no JADE),1,2.895861e+01
F5,IFPOA-X (no JADE),2,2.895643e+01
F5,IFPOA-X (no JADE),3,2.894427e+01
F5,IFPOA-X (no JADE),4,2.896815e+01
F5,IFPOA-X (no JADE),5,2.874972e+01
F5,IFPOA-X (no Bandit),1,2.907488e+01
F5,IFPOA-X (no Bandit),2,2.893798e+01
F5,IFPOA-X (no Bandit),3,3.160523e+01
F5,IFPOA-X (no Bandit),4,4.784806e+01
F5,IFPOA-X (no Bandit),5,5.682438e+02
F5,IFPOA-X (base/FPA),1,3.235114e+07
F5,IFPOA-X (base/FPA),2,9.755209e+06
F5,IFPOA-X (base/FPA),3,3.559331e+07
F5,IFPOA-X (base/FPA),4,3.120502e+07
F5,IFPOA-X (base/FPA),5,2.063009e+07
F8,IFPOA-X (no OBL),1,8.656140e+03
F8,IFPOA-X (no OBL),2,8.519292e+03
F8,IFPOA-X (no OBL),3,8.976546e+03
F8,IFPOA-X (no OBL),4,8.632004e+03
F8,IFPOA-X (no OBL),5,8.795838e+03
F8,IFPOA-X (no JADE),1,8.978272e+03
F8,IFPOA-X (no JADE),2,8.880724e+03
F8,IFPOA-X (no JADE),3,7.645684e+03
F8,IFPOA-X (no JADE),4,7.646252e+03
F8,IFPOA-X (no JADE),5,9.012414e+03
F8,IFPOA-X (no Bandit),1,9.080773e+03
F8,IFPOA-X (no Bandit),2,9.039341e+03
F8,IFPOA-X (no Bandit),3,7.646666e+03
F8,IFPOA-X (no Bandit),4,8.105515e+03
F8,IFPOA-X (no Bandit),5,9.408945e+03
F8,IFPOA-X (base/FPA),1,8.513191e+03
F8,IFPOA-X (base/FPA),2,8.666108e+03
F8,IFPOA-X (base/FPA),3,8.892398e+03
F8,IFPOA-X (base/FPA),4,8.538229e+03
F8,IFPOA-X (base/FPA),5,8.763296e+03
F9,IFPOA-X (no OBL),1,3.373977e+02
F9,IFPOA-X (no OBL),2,2.655702e+02
F9,IFPOA-X (no OBL),3,2.727703e+02
F9,IFPOA-X (no OBL),4,2.535395e+02
F9,IFPOA-X (no OBL),5,2.973870e+02
