Function,Variant,Run,Best
F1,IFPOA-X (full),1,2.062837e-03
F1,IFPOA-X (full),2,9.207661e-02
F1,IFPOA-X (full),3,7.568795e-02
F1,IFPOA-X (full),4,5.247428e-02
F1,IFPOA-X (full),5,1.271611e-01
F1,IFPOA-X (full),6,1.261397e-01
F1,IFPOA-X (full),7,8.553477e+00
F1,IFPOA-X (full),8,2.449140e+00
F1,IFPOA-X (full),9,1.729961e-04
F1,IFPOA-X (full),10,1.182443e-01
F1,IFPOA-X (full),11,5.167263e+00
F1,IFPOA-X (full),12,9.151188e-02
F1,IFPOA-X (full),13,5.935352e+00
F1,IFPOA-X (full),14,6.955852e-01
F1,IFPOA-X (full),15,6.365446e+00
F1,IFPOA-X (full),16,1.534072e+00
F1,IFPOA-X (full),17,4.583180e-03
F1,IFPOA-X (full),18,1.551438e-02
F1,IFPOA-X (full),19,6.670205e-01
F1,IFPOA-X (full),20,4.140586e+00
F2,IFPOA-X (full),1,2.118837e-02
F2,IFPOA-X (full),2,1.659209e-02
F2,IFPOA-X (full),3,7.377428e-04
F2,IFPOA-X (full),4,4.242962e-01
F2,IFPOA-X (full),5,4.784794e-01
F2,IFPOA-X (full),6,6.920285e-03
F2,IFPOA-X (full),7,2.339816e-01
F2,IFPOA-X (full),8,1.784970e-01
F2,IFPOA-X (full),9,2.569431e-02
F2,IFPOA-X (full),10,3.842091e-02
F2,IFPOA-X (full),11,9.378689e-03
F2,IFPOA-X (full),12,3.388554e-02
F2,IFPOA-X (full),13,3.326462e-01
F2,IFPOA-X (full),14,8.857529e-02
F2,IFPOA-X (full),15,4.293665e-03
F2,IFPOA-X (full),16,1.515266e-02
F2,IFPOA-X (full),17,1.887703e-01
F2,IFPOA-X (full),18,2.370353e-01
F2,IFPOA-X (full),19,2.232052e-02
F2,IFPOA-X (full),20,2.394335e-03
F3,IFPOA-X (full),1,2.336886e+03
F3,IFPOA-X (full),2,1.044056e+03
F3,IFPOA-X (full),3,1.320714e+02
F3,IFPOA-X (full),4,9.492652e+02
F3,IFPOA-X (full),5,2.009376e-01
F3,IFPOA-X (full),6,1.023453e+03
F3,IFPOA-X (full),7,1.352911e-04
F3,IFPOA-X (full),8,2.894568e+02
F3,IFPOA-X (full),9,7.222552e+01
F3,IFPOA-X (full),10,1.001822e-01
F3,IFPOA-X (full),11,1.693212e+04
F3,IFPOA-X (full),12,1.370664e+03
F3,IFPOA-X (full),13,2.614497e+01
F3,IFPOA-X (full),14,1.997212e+02
F3,IFPOA-X (full),15,7.202898e+02
F3,IFPOA-X (full),16,2.908562e+03
F3,IFPOA-X (full),17,4.190707e+03
F3,IFPOA-X (full),18,1.679193e+03
F3,IFPOA-X (full),19,1.232333e+03
F3,IFPOA-X (full),20,5.822195e+03
F4,IFPOA-X (full),1,1.329278e+00
F4,IFPOA-X (full),2,8.952560e-01
F4,IFPOA-X (full),3,4.068534e+00
F4,IFPOA-X (full),4,3.661383e+00
F4,IFPOA-X (full),5,2.918563e+00
F4,IFPOA-X (full),6,1.448061e+00
F4,IFPOA-X (full),7,2.605664e+00
F4,IFPOA-X (full),8,3.784692e+00
F4,IFPOA-X (full),9,4.216550e+00
F4,IFPOA-X (full),10,2.219916e+00
F4,IFPOA-X (full),11,8.009866e+00
F4,IFPOA-X (full),12,2.382002e+00
F4,IFPOA-X (full),13,1.022429e+01
F4,IFPOA-X (full),14,4.270126e+00
F4,IFPOA-X (full),15,1.825003e+00
F4,IFPOA-X (full),16,5.243182e+00
F4,IFPOA-X (full),17,8.796084e+00
F4,IFPOA-X (full),18,9.094967e+00
F4,IFPOA-X (full),19,6.755881e+00
F4,IFPOA-X (full),20,7.797516e+00
F5,IFPOA-X (full),1,3.563325e+01
F5,IFPOA-X (full),2,2.917991e+01
F5,IFPOA-X (full),3,2.897904e+01
F5,IFPOA-X (full),4,2.953815e+01
F5,IFPOA-X (full),5,2.898704e+01
F5,IFPOA-X (full),6,2.903767e+01
F5,IFPOA-X (full),7,2.898642e+01
F5,IFPOA-X (full),8,2.899485e+01
F5,IFPOA-X (full),9,2.899344e+01
F5,IFPOA-X (full),10,2.900826e+01
F5,IFPOA-X (full),11,5.134000e+01
F5,IFPOA-X (full),12,2.897736e+01
F5,IFPOA-X (full),13,2.943976e+01
F5,IFPOA-X (full),14,4.377804e+01
F5,IFPOA-X (full),15,2.947216e+01
F5,IFPOA-X (full),16,2.899924e+01
F5,IFPOA-X (full),17,2.899471e+01
F5,IFPOA-X (full),18,2.895290e+01
F5,IFPOA-X (full),19,2.907355e+01
F5,IFPOA-X (full),20,2.932759e+01
F6,IFPOA-X (full),1,0.000000e+00
F6,IFPOA-X (full),2,2.000000e+00
F6,IFPOA-X (full),3,2.000000e+00
F6,IFPOA-X (full),4,0.000000e+00
F6,IFPOA-X (full),5,1.000000e+00
F6,IFPOA-X (full),6,0.000000e+00
F6,IFPOA-X (full),7,1.000000e+00
F6,IFPOA-X (full),8,1.200000e+01
F6,IFPOA-X (full),9,6.000000e+00
F6,IFPOA-X (full),10,7.000000e+00
F6,IFPOA-X (full),11,0.000000e+00
F6,IFPOA-X (full),12,5.000000e+00
F6,IFPOA-X (full),13,0.000000e+00
F6,IFPOA-X (full),14,1.000000e+00
F6,IFPOA-X (full),15,0.000000e+00
F6,IFPOA-X (full),16,5.000000e+00
F6,IFPOA-X (full),17,1.200000e+01
F6,IFPOA-X (full),18,0.000000e+00
F6,IFPOA-X (full),19,0.000000e+00
F6,IFPOA-X (full),20,0.000000e+00
F7,IFPOA-X (full),1,1.185855e-01
F7,IFPOA-X (full),2,2.416763e-02
F7,IFPOA-X (full),3,5.855688e-02
F7,IFPOA-X (full),4,1.437266e-02
F7,IFPOA-X (full),5,1.573765e-02
F7,IFPOA-X (full),6,4.391521e-02
F7,IFPOA-X (full),7,6.471917e-03
F7,IFPOA-X (full),8,5.526469e-02
F7,IFPOA-X (full),9,1.964880e-02
F7,IFPOA-X (full),10,4.250014e-02
F7,IFPOA-X (full),11,8.740849e-02
F7,IFPOA-X (full),12,6.579521e-02
F7,IFPOA-X (full),13,3.862271e-02
F7,IFPOA-X (full),14,4.057778e-02
F7,IFPOA-X (full),15,8.459765e-02
F7,IFPOA-X (full),16,1.153803e-02
F7,IFPOA-X (full),17,1.182723e-02
F7,IFPOA-X (full),18,4.090955e-02
F7,IFPOA-X (full),19,8.324597e-02
F7,IFPOA-X (full),20,3.799230e-02
F8,IFPOA-X (full),1,8.758653e+03
F8,IFPOA-X (full),2,8.298363e+03
F8,IFPOA-X (full),3,8.671650e+03
F8,IFPOA-X (full),4,8.565589e+03
F8,IFPOA-X (full),5,8.913310e+03
F8,IFPOA-X (full),6,8.992106e+03
F8,IFPOA-X (full),7,8.596753e+03
F8,IFPOA-X (full),8,8.662821e+03
F8,IFPOA-X (full),9,9.210595e+03
F8,IFPOA-X (full),10,8.736889e+03
F8,IFPOA-X (full),11,8.014777e+03
F8,IFPOA-X (full),12,8.866668e+03
F8,IFPOA-X (full),13,7.844070e+03
F8,IFPOA-X (full),14,8.845915e+03
F8,IFPOA-X (full),15,8.186575e+03
F8,IFPOA-X (full),16,8.929714e+03
F8,IFPOA-X (full),17,9.012249e+03
F8,IFPOA-X (full),18,8.135737e+03
F8,IFPOA-X (full),19,8.909718e+03
F8,IFPOA-X (full),20,8.907863e+03
F9,IFPOA-X (full),1,6.088536e-03
F9,IFPOA-X (full),2,1.702592e-03
F9,IFPOA-X (full),3,2.170650e+00
F9,IFPOA-X (full),4,1.164469e-01
F9,IFPOA-X (full),5,6.909387e-03
F9,IFPOA-X (full),6,6.765921e-03
F9,IFPOA-X (full),7,6.467095e-02
F9,IFPOA-X (full),8,1.586233e-03
F9,IFPOA-X (full),9,5.802480e-04
F9,IFPOA-X (full),10,1.884178e+00
F9,IFPOA-X (full),11,4.615635e+00
F9,IFPOA-X (full),12,2.344870e-02
F9,IFPOA-X (full),13,3.546533e+00
F9,IFPOA-X (full),14,3.283361e-02
F9,IFPOA-X (full),15,3.130415e-02
F9,IFPOA-X (full),16,1.671493e+01
F9,IFPOA-X (full),17,1.572361e-05
F9,IFPOA-X (full),18,2.674852e+00
F9,IFPOA-X (full),19,5.594164e-03
F9,IFPOA-X (full),20,1.369365e-01
F10,IFPOA-X (full),1,2.108413e-01
F10,IFPOA-X (full),2,1.011114e-01
F10,IFPOA-X (full),3,7.123786e-02
F10,IFPOA-X (full),4,1.074555e+00
F10,IFPOA-X (full),5,5.377723e-01
F10,IFPOA-X (full),6,1.188477e-01
F10,IFPOA-X (full),7,9.622111e-01
F10,IFPOA-X (full),8,3.393908e-02
F10,IFPOA-X (full),9,4.706328e-01
F10,IFPOA-X (full),10,4.886550e-01
F10,IFPOA-X (full),11,9.825548e-01
F10,IFPOA-X (full),12,3.810936e-02
F10,IFPOA-X (full),13,3.461176e-03
F10,IFPOA-X (full),14,1.560410e+00
F10,IFPOA-X (full),15,1.615236e-01
