Function,Algorithm,Best,Worst,Mean,Std,Median
F1,DE,3.838992e+04,7.660728e+04,5.365516e+04,9.713570e+03,5.436622e+04
F1,FPA,6.578888e+03,1.370494e+04,1.083341e+04,2.212682e+03,1.080192e+04
F1,GWO,2.935863e+03,9.572134e+03,5.491980e+03,1.966158e+03,5.010244e+03
F1,IFPOA-X,1.385072e-06,5.003190e+01,7.381910e+00,1.343260e+01,1.646969e+00
F1,L-SHADE,1.375396e+04,2.709101e+04,2.132805e+04,3.317787e+03,2.133855e+04
F1,PSO,5.070759e+03,1.237693e+04,8.414292e+03,1.773814e+03,8.045969e+03
F1,TPE,4.375602e+04,7.631510e+04,6.229953e+04,7.612943e+03,6.193703e+04
F1,WOA,3.006165e+00,2.591322e+03,3.179354e+02,5.778772e+02,1.471711e+02
F10,DE,1.843788e+01,1.967753e+01,1.914524e+01,3.248230e-01,1.912920e+01
F10,FPA,1.215266e+01,1.515136e+01,1.361686e+01,8.052664e-01,1.368633e+01
F10,GWO,9.453378e+00,1.333876e+01,1.147737e+01,1.006236e+00,1.172577e+01
F10,IFPOA-X,3.114277e-02,2.350083e+00,6.380941e-01,6.070185e-01,4.858614e-01
F10,L-SHADE,1.599635e+01,1.786653e+01,1.694744e+01,5.356043e-01,1.699813e+01
F10,PSO,1.163744e+01,1.461701e+01,1.306047e+01,8.058316e-01,1.290935e+01
F10,TPE,1.927235e+01,1.980999e+01,1.955599e+01,1.666548e-01,1.955051e+01
F10,WOA,3.080619e-06,4.768756e+00,2.084283e+00,1.590721e+00,1.864260e+00
F11,DE,3.465092e+02,6.904655e+02,4.838964e+02,8.742214e+01,4.902960e+02
F11,FPA,6.020999e+01,1.243445e+02,9.850066e+01,1.991414e+01,9.821733e+01
F11,GWO,2.742276e+01,8.714920e+01,5.042782e+01,1.769543e+01,4.609220e+01
F11,IFPOA-X,4.004782e-03,3.003872e+00,9.224933e-01,6.604816e-01,1.019566e+00
F11,L-SHADE,1.247856e+02,2.448191e+02,1.929524e+02,2.986010e+01,1.930470e+02
F11,PSO,4.663683e+01,1.123923e+02,7.672862e+01,1.596432e+01,7.341372e+01
F11,TPE,3.948042e+02,6.878359e+02,5.616958e+02,6.851648e+01,5.584333e+02
F11,WOA,1.043112e+00,2.432190e+01,3.862222e+00,5.200436e+00,2.324540e+00
F12,DE,6.804657e+07,3.722056e+08,1.902127e+08,9.156359e+07,1.933662e+08
F12,FPA,3.536182e+03,1.536113e+06,3.488216e+05,3.745229e+05,1.901172e+05
F12,GWO,4.927290e+01,5.686491e+06,3.993786e+05,1.260842e+06,5.777225e+04
F12,IFPOA-X,1.020079e+00,2.157231e+00,1.397416e+00,2.925608e-01,1.407504e+00
F12,L-SHADE,9.141111e+05,4.210549e+07,1.819969e+07,1.105478e+07,1.681010e+07
F12,PSO,1.529744e+02,1.510794e+06,1.576282e+05,3.539611e+05,3.172345e+04
F12,TPE,1.618767e+08,3.380080e+08,2.301833e+08,4.682843e+07,2.297224e+08
F12,WOA,5.364565e-01,2.505938e+08,2.120760e+07,6.277535e+07,1.876655e+05
