Function,Algorithm,Run,Best
F1,IFPOA-X,1,2.130354e+01
F1,IFPOA-X,2,3.833993e+00
F1,IFPOA-X,3,1.719598e+00
F1,IFPOA-X,4,2.742871e-01
F1,IFPOA-X,5,1.595723e+00
F1,IFPOA-X,6,1.780395e+00
F1,IFPOA-X,7,2.161763e-01
F1,IFPOA-X,8,1.518368e+01
F1,IFPOA-X,9,1.239131e+00
F1,IFPOA-X,10,9.694579e+00
F1,IFPOA-X,11,7.885345e-04
F1,IFPOA-X,12,5.003190e+01
F1,IFPOA-X,13,3.306807e+00
F1,IFPOA-X,14,5.274989e-01
F1,IFPOA-X,15,1.698216e+00
F1,IFPOA-X,16,3.460104e+01
F1,IFPOA-X,17,2.591340e-02
F1,IFPOA-X,18,2.404180e-01
F1,IFPOA-X,19,3.645226e-01
F1,IFPOA-X,20,1.385072e-06
F1,FPA,1,1.347292e+04
F1,FPA,2,1.353205e+04
F1,FPA,3,1.095964e+04
F1,FPA,4,1.214102e+04
F1,FPA,5,6.578888e+03
F1,FPA,6,1.304581e+04
F1,FPA,7,8.090743e+03
F1,FPA,8,9.660340e+03
F1,FPA,9,1.238504e+04
F1,FPA,10,1.000241e+04
F1,FPA,11,1.024721e+04
F1,FPA,12,1.035858e+04
F1,FPA,13,1.064421e+04
F1,FPA,14,1.285574e+04
F1,FPA,15,1.247335e+04
F1,FPA,16,9.204658e+03
F1,FPA,17,1.370494e+04
F1,FPA,18,1.222511e+04
F1,FPA,19,7.243471e+03
F1,FPA,20,7.841991e+03
F1,PSO,1,7.267167e+03
F1,PSO,2,6.217646e+03
F1,PSO,3,6.773138e+03
F1,PSO,4,7.890094e+03
F1,PSO,5,9.466969e+03
F1,PSO,6,6.979653e+03
F1,PSO,7,8.379516e+03
F1,PSO,8,9.416648e+03
F1,PSO,9,5.070759e+03
F1,PSO,10,9.637533e+03
F1,PSO,11,7.979689e+03
F1,PSO,12,7.188039e+03
F1,PSO,13,8.104447e+03
F1,PSO,14,1.145399e+04
F1,PSO,15,1.237693e+04
F1,PSO,16,9.432737e+03
F1,PSO,17,9.657387e+03
F1,PSO,18,7.987491e+03
F1,PSO,19,9.971601e+03
F1,PSO,20,7.034402e+03
F1,DE,1,6.446116e+04
F1,DE,2,3.875474e+04
F1,DE,3,5.383301e+04
F1,DE,4,3.912668e+04
F1,DE,5,5.260196e+04
F1,DE,6,5.083490e+04
