Function,Algorithm,Run,Best
F1,IFPOA-X,1,4.284761e+10
F1,IFPOA-X,2,4.703741e+10
F1,IFPOA-X,3,4.047230e+10
F1,IFPOA-X,4,2.551595e+10
F1,IFPOA-X,5,3.794184e+10
F1,IFPOA-X,6,5.138447e+10
F1,IFPOA-X,7,3.171343e+10
F1,IFPOA-X,8,3.754841e+10
F1,IFPOA-X,9,3.872478e+10
F1,IFPOA-X,10,4.651872e+10
F1,IFPOA-X,11,3.565869e+10
F1,IFPOA-X,12,5.159363e+10
F1,IFPOA-X,13,3.919487e+10
F1,IFPOA-X,14,4.079725e+10
F1,IFPOA-X,15,4.075995e+10
F1,IFPOA-X,16,3.975277e+10
F1,IFPOA-X,17,4.572787e+10
F1,IFPOA-X,18,4.828778e+10
F1,IFPOA-X,19,5.091210e+10
F1,IFPOA-X,20,3.951510e+10
F1,FPA,1,6.983679e+10
F1,FPA,2,5.076678e+10
F1,FPA,3,5.960004e+10
F1,FPA,4,4.898593e+10
F1,FPA,5,5.429049e+10
F1,FPA,6,5.941624e+10
F1,FPA,7,5.965227e+10
F1,FPA,8,4.775884e+10
F1,FPA,9,4.380292e+10
F1,FPA,10,4.379122e+10
F1,FPA,11,3.139449e+10
F1,FPA,12,4.532206e+10
F1,FPA,13,6.308594e+10
F1,FPA,14,4.260320e+10
F1,FPA,15,4.941354e+10
F1,FPA,16,6.833637e+10
F1,FPA,17,5.444102e+10
F1,FPA,18,6.385797e+10
F1,FPA,19,7.125416e+10
F1,FPA,20,5.683361e+10
F1,PSO,1,5.549988e+10
F1,PSO,2,2.287565e+10
F1,PSO,3,2.536324e+10
F1,PSO,4,2.661974e+10
F1,PSO,5,3.348745e+10
F1,PSO,6,2.368267e+10
F1,PSO,7,2.422414e+10
F1,PSO,8,3.671984e+10
F1,PSO,9,3.724595e+10
F1,PSO,10,1.513464e+10
F1,PSO,11,2.064843e+10
F1,PSO,12,1.742052e+10
F1,PSO,13,4.911631e+10
F1,PSO,14,3.313663e+10
F1,PSO,15,2.495158e+10
F1,PSO,16,3.249812e+10
F1,PSO,17,2.738468e+10
F1,PSO,18,3.069333e+10
F1,PSO,19,2.866759e+10
F1,PSO,20,2.934861e+10
F1,DE,1,5.349247e+10
F1,DE,2,6.303179e+10
F1,DE,3,3.184007e+10
F1,DE,4,5.373341e+10
F1,DE,5,9.108632e+10
F1,DE,6,6.163570e+10
F1,DE,7,4.123027e+10
F1,DE,8,5.843661e+10
F1,DE,9,3.633761e+10
F1,DE,10,3.428353e+10
F1,DE,11,4.818318e+10
F1,DE,12,4.927800e+10
F1,DE,13,3.291885e+10
F1,DE,14,7.710448e+10
F1,DE,15,5.273014e+10
F1,DE,16,4.670279e+10
F1,DE,17,3.841208e+10
F1,DE,18,5.011944e+10
F1,DE,19,6.048714e+10
F1,DE,20,5.801437e+10
F1,L-SHADE,1,1.836787e+10
F1,L-SHADE,2,1.606597e+10
F1,L-SHADE,3,2.410460e+10
F1,L-SHADE,4,2.171892e+10
F1,L-SHADE,5,2.544908e+10
F1,L-SHADE,6,2.429409e+10
F1,L-SHADE,7,1.992747e+10
F1,L-SHADE,8,1.766506e+10
F1,L-SHADE,9,2.174837e+10
F1,L-SHADE,10,2.559676e+10
F1,L-SHADE,11,1.557481e+10
F1,L-SHADE,12,1.469456e+10
F1,L-SHADE,13,2.817040e+10
F1,L-SHADE,14,2.022509e+10
F1,L-SHADE,15,2.394734e+10
F1,L-SHADE,16,2.179757e+10
F1,L-SHADE,17,2.152683e+10
F1,L-SHADE,18,1.991948e+10
F1,L-SHADE,19,2.650292e+10
F1,L-SHADE,20,1.830268e+10
F1,GWO,1,1.196477e+10
F1,GWO,2,1.041489e+10
F1,GWO,3,6.335662e+09
F1,GWO,4,1.250747e+10
F1,GWO,5,9.507993e+09
F1,GWO,6,7.134678e+09
F1,GWO,7,1.590989e+10
F1,GWO,8,8.409815e+09
F1,GWO,9,3.966667e+09
F1,GWO,10,3.338040e+09
F1,GWO,11,1.250009e+10
F1,GWO,12,9.339898e+09
F1,GWO,13,9.646540e+09
F1,GWO,14,6.565486e+09
F1,GWO,15,1.505061e+10
F1,GWO,16,1.889130e+10
F1,GWO,17,1.326824e+10
F1,GWO,18,7.990280e+09
F1,GWO,19,7.040673e+09
F1,GWO,20,1.541902e+10
F1,WOA,1,6.930498e+10
F1,WOA,2,7.191734e+10
F1,WOA,3,5.022814e+10
F1,WOA,4,6.900686e+10
F1,WOA,5,5.681298e+10
F1,WOA,6,7.086479e+10
F1,WOA,7,5.694811e+10
F1,WOA,8,6.376540e+10
F1,WOA,9,5.231108e+10
F1,WOA,10,3.493358e+10
F1,WOA,11,5.709486e+10
F1,WOA,12,4.563388e+10
F1,WOA,13,4.722370e+10
F1,WOA,14,4.521464e+10
F1,WOA,15,5.462637e+10
F1,WOA,16,6.495066e+10
F1,WOA,17,5.345415e+10
F1,WOA,18,6.514731e+10
F1,WOA,19,5.649968e+10
F1,WOA,20,5.509764e+10
F1,TPE,1,4.578996e+10
F1,TPE,2,6.061752e+10
F1,TPE,3,3.836204e+10
F1,TPE,4,4.376670e+10
F1,TPE,5,5.562282e+10
F1,TPE,6,3.764491e+10
F1,TPE,7,2.878053e+10
F1,TPE,8,5.779044e+10
F1,TPE,9,3.125553e+10
F1,TPE,10,3.462442e+10
F1,TPE,11,3.936196e+10
F1,TPE,12,3.366198e+10
F1,TPE,13,4.376788e+10
F1,TPE,14,4.370175e+10
F1,TPE,15,4.192965e+10
F1,TPE,16,4.294692e+10
F1,TPE,17,3.601032e+10
F1,TPE,18,4.170277e+10
F1,TPE,19,5.190690e+10
F1,TPE,20,4.928072e+10
F3,IFPOA-X,1,1.043055e+04
F3,IFPOA-X,2,9.478272e+03
F3,IFPOA-X,3,9.132983e+03
F3,IFPOA-X,4,1.605280e+04
F3,IFPOA-X,5,6.465808e+03
F3,IFPOA-X,6,7.672451e+03
F3,IFPOA-X,7,5.563859e+03
F3,IFPOA-X,8,7.948143e+03
F3,IFPOA-X,9,5.950860e+03
F3,IFPOA-X,10,1.127324e+04
F3,IFPOA-X,11,6.172107e+03
F3,IFPOA-X,12,7.349996e+03
F3,IFPOA-X,13,7.194719e+03
F3,IFPOA-X,14,8.263146e+03
F3,IFPOA-X,15,1.034029e+04
F3,IFPOA-X,16,5.573928e+03
F3,IFPOA-X,17,5.425143e+03
F3,IFPOA-X,18,8.188304e+03
F3,IFPOA-X,19,1.147303e+04
F3,IFPOA-X,20,8.788302e+03
F3,FPA,1,1.655147e+04
F3,FPA,2,1.403956e+04
F3,FPA,3,1.945482e+04
F3,FPA,4,1.154585e+04
F3,FPA,5,1.408304e+04
F3,FPA,6,1.041071e+04
F3,FPA,7,1.180400e+04
F3,FPA,8,9.755256e+03
F3,FPA,9,7.863679e+03
F3,FPA,10,1.191388e+04
F3,FPA,11,1.222514e+04
F3,FPA,12,9.731482e+03
F3,FPA,13,1.669246e+04
F3,FPA,14,8.883466e+03
F3,FPA,15,1.272315e+04
F3,FPA,16,6.498714e+03
F3,FPA,17,9.300588e+03
F3,FPA,18,1.537846e+04
F3,FPA,19,1.689666e+04
F3,FPA,20,9.001989e+03
F3,PSO,1,6.395464e+03
F3,PSO,2,7.483457e+03
F3,PSO,3,4.627391e+03
F3,PSO,4,3.860225e+03
F3,PSO,5,3.475919e+03
F3,PSO,6,7.216151e+03
F3,PSO,7,3.182544e+03
F3,PSO,8,5.555328e+03
F3,PSO,9,2.994523e+03
F3,PSO,10,8.322459e+03
F3,PSO,11,3.232842e+03
F3,PSO,12,3.107490e+03
F3,PSO,13,1.183900e+04
F3,PSO,14,4.622402e+03
F3,PSO,15,2.873535e+03
F3,PSO,16,4.354321e+03
F3,PSO,17,4.644103e+03
F3,PSO,18,3.193933e+03
F3,PSO,19,5.306457e+03
F3,PSO,20,3.194796e+03
F3,DE,1,1.776020e+04
F3,DE,2,1.024555e+04
F3,DE,3,1.284831e+04
F3,DE,4,1.194075e+04
F3,DE,5,1.241739e+04
F3,DE,6,1.158083e+04
F3,DE,7,1.039997e+04
F3,DE,8,1.195766e+04
F3,DE,9,9.557666e+03
F3,DE,10,1.444043e+04
F3,DE,11,4.958552e+03
F3,DE,12,4.145152e+03
F3,DE,13,6.387663e+03
F3,DE,14,1.264191e+04
F3,DE,15,8.389171e+03
F3,DE,16,8.870959e+03
F3,DE,17,6.989590e+03
F3,DE,18,7.247475e+03
F3,DE,19,7.847770e+03
F3,DE,20,8.735141e+03
F3,L-SHADE,1,3.568683e+03
F3,L-SHADE,2,3.921825e+03
F3,L-SHADE,3,4.795025e+03
F3,L-SHADE,4,2.694907e+03
F3,L-SHADE,5,3.862114e+03
F3,L-SHADE,6,4.143787e+03
F3,L-SHADE,7,4.857712e+03
F3,L-SHADE,8,3.993517e+03
F3,L-SHADE,9,3.566810e+03
F3,L-SHADE,10,2.429571e+03
F3,L-SHADE,11,2.206401e+03
F3,L-SHADE,12,3.701424e+03
F3,L-SHADE,13,3.493620e+03
F3,L-SHADE,14,3.643403e+03
F3,L-SHADE,15,3.095811e+03
F3,L-SHADE,16,2.676308e+03
