Function,Algorithm,Best,Worst,Mean,Std,Median
F1,DE,3.755001e+04,8.770587e+04,6.896582e+04,1.287905e+04,7.112875e+04
F1,FPA,8.913247e+04,1.293399e+05,1.110734e+05,1.194767e+04,1.098473e+05
F1,GWO,4.146129e+03,3.996243e+04,2.374151e+04,1.176418e+04,2.268711e+04
F1,IFPOA-X,2.608305e+04,6.569432e+04,4.474319e+04,1.032059e+04,4.572486e+04
F1,L-SHADE,1.124402e+04,3.931883e+04,2.526461e+04,7.863496e+03,2.619882e+04
F1,PSO,2.021514e+04,5.487906e+04,3.900148e+04,1.050749e+04,3.762776e+04
F1,TPE,3.722900e+04,8.766924e+04,5.360057e+04,1.394690e+04,4.981679e+04
F1,WOA,2.001812e+03,7.519234e+03,3.046152e+03,1.461543e+03,2.272521e+03
F10,DE,2.042521e+01,2.121564e+01,2.094687e+01,2.417767e-01,2.099652e+01
F10,FPA,2.106133e+01,2.119601e+01,2.113487e+01,5.140881e-02,2.113883e+01
F10,GWO,2.024734e+01,2.126095e+01,2.099434e+01,2.946738e-01,2.111468e+01
F10,IFPOA-X,2.038664e+01,2.112810e+01,2.096137e+01,1.745207e-01,2.098618e+01
F10,L-SHADE,1.948517e+01,2.113016e+01,2.071273e+01,5.266860e-01,2.103025e+01
F10,PSO,2.082725e+01,2.121963e+01,2.105839e+01,1.203112e-01,2.108215e+01
F10,TPE,1.972395e+01,2.130384e+01,2.042747e+01,5.035389e-01,2.038853e+01
F10,WOA,1.002085e+01,1.312797e+01,1.120643e+01,8.853248e-01,1.093858e+01
F11,DE,4.458181e+02,7.912062e+02,6.368256e+02,1.217411e+02,6.887527e+02
F11,FPA,8.155474e+02,1.149402e+03,1.020578e+03,9.390867e+01,1.033336e+03
F11,GWO,1.115939e+02,3.831068e+02,2.377477e+02,8.608290e+01,2.422127e+02
F11,IFPOA-X,2.653054e+02,5.371136e+02,4.040393e+02,8.525233e+01,4.261180e+02
F11,L-SHADE,1.526138e+02,3.753924e+02,2.584289e+02,6.635336e+01,2.497241e+02
F11,PSO,1.349404e+02,5.360040e+02,2.942858e+02,1.017443e+02,2.871675e+02
F11,TPE,3.589205e+02,6.858321e+02,5.056253e+02,9.892840e+01,5.013502e+02
F11,WOA,1.905764e+01,4.967777e+01,3.186976e+01,1.000787e+01,3.346385e+01
F12,DE,5.997254e+08,2.368465e+09,1.441727e+09,6.299880e+08,1.322754e+09
F12,FPA,8.082295e+08,1.793961e+09,1.296035e+09,2.477464e+08,1.240540e+09
F12,GWO,1.113319e+07,5.978860e+08,2.417469e+08,1.549937e+08,2.064001e+08
F12,IFPOA-X,1.956369e+08,1.451786e+09,7.589524e+08,3.606400e+08,7.478552e+08
F12,L-SHADE,5.982077e+07,5.176938e+08,2.500422e+08,1.502481e+08,2.090439e+08
F12,PSO,2.210132e+08,9.458333e+08,5.329735e+08,2.115331e+08,5.467013e+08
F12,TPE,2.937890e+08,1.800357e+09,7.600030e+08,4.487393e+08,5.975577e+08
F12,WOA,9.512280e+00,6.215634e+04,9.655409e+03,1.833467e+04,1.115763e+02
F13,DE,9.964726e+08,4.399387e+09,2.338016e+09,1.098530e+09,2.062604e+09
F13,FPA,1.717816e+09,3.817924e+09,2.429576e+09,5.648841e+08,2.225895e+09
F13,GWO,1.216736e+08,8.716425e+08,4.175508e+08,2.362621e+08,4.084711e+08
F13,IFPOA-X,7.579074e+08,2.335592e+09,1.652136e+09,3.987051e+08,1.555460e+09
F13,L-SHADE,1.389525e+08,1.726652e+09,5.633819e+08,4.035799e+08,4.638488e+08
F13,PSO,3.161384e+08,1.945512e+09,1.071956e+09,4.845703e+08,1.064883e+09
F13,TPE,1.796745e+08,3.110762e+09,1.391579e+09,7.047164e+08,1.295592e+09
F13,WOA,1.406203e+03,1.562625e+06,3.260995e+05,4.213414e+05,1.341842e+05
F2,DE,9.747319e+01,5.700399e+02,1.588078e+02,1.160126e+02,1.313401e+02
F2,FPA,5.126341e+09,1.231231e+16,1.020099e+15,3.152661e+15,3.160610e+11
F2,GWO,9.488107e+01,2.520912e+15,1.680785e+14,6.508918e+14,1.311502e+03
F2,IFPOA-X,4.579679e+04,1.763245e+09,2.904619e+08,5.082306e+08,9.115817e+06
F2,L-SHADE,6.669847e+02,4.604510e+07,5.783391e+06,1.220551e+07,6.885932e+04
F2,PSO,1.203262e+04,1.493780e+13,1.017433e+12,3.851749e+12,3.305482e+06
F2,TPE,8.986383e+01,2.737253e+05,2.889211e+04,7.592933e+04,3.689006e+02
F2,WOA,2.382521e+01,1.054663e+02,4.698832e+01,2.785442e+01,3.471640e+01
F3,DE,9.158663e+05,9.217842e+06,4.155649e+06,2.410160e+06,4.088011e+06
F3,FPA,1.678821e+07,2.918782e+07,2.345224e+07,3.724377e+06,2.423750e+07
F3,GWO,1.152669e+05,2.038944e+06,4.544195e+05,4.692044e+05,3.044967e+05
F3,IFPOA-X,7.470550e+04,1.687876e+06,6.133904e+05,4.562646e+05,5.674651e+05
F3,L-SHADE,3.115386e+04,1.351638e+06,3.141481e+05,3.643535e+05,1.955313e+05
F3,PSO,1.323777e+05,5.093753e+06,1.026956e+06,1.372154e+06,3.397519e+05
F3,TPE,1.083044e+06,4.831628e+06,3.005584e+06,1.260987e+06,3.020341e+06
F3,WOA,4.306826e+04,1.437996e+05,7.683804e+04,2.773033e+04,6.753501e+04
F4,DE,9.744209e+01,1.385398e+02,1.151252e+02,1.043265e+01,1.159501e+02
F4,FPA,8.910317e+01,1.024116e+02,9.592910e+01,4.626776e+00,9.670611e+01
F4,GWO,7.373034e+01,9.115183e+01,8.321121e+01,5.634605e+00,8.316866e+01
F4,IFPOA-X,8.328966e+01,1.183465e+02,9.598219e+01,1.288015e+01,8.893383e+01
F4,L-SHADE,8.763335e+01,1.118853e+02,9.553505e+01,6.058504e+00,9.361306e+01
F4,PSO,8.402919e+01,1.083896e+02,9.247057e+01,5.811226e+00,9.248991e+01
F4,TPE,7.164210e+01,1.104613e+02,9.605447e+01,1.011896e+01,9.859357e+01
F4,WOA,1.359382e+01,3.513962e+01,2.453920e+01,6.109511e+00,2.383126e+01
F5,DE,1.610710e+08,5.600109e+08,3.716085e+08,1.101200e+08,3.761140e+08
F5,FPA,3.563955e+08,6.372821e+08,5.101181e+08,8.908252e+07,5.213600e+08
F5,GWO,1.415285e+07,1.349131e+08,6.401137e+07,3.460550e+07,5.630816e+07
F5,IFPOA-X,1.015331e+08,5.271572e+08,3.057516e+08,1.032898e+08,3.229841e+08
F5,L-SHADE,2.997624e+07,1.881450e+08,8.566355e+07,4.245757e+07,8.515924e+07
F5,PSO,6.736164e+07,4.770596e+08,2.049353e+08,1.131862e+08,1.646144e+08
F5,TPE,6.333984e+07,3.881144e+08,1.933936e+08,8.247589e+07,2.016775e+08
F5,WOA,2.463109e+05,1.882576e+06,6.604136e+05,4.174669e+05,6.164509e+05
F6,DE,5.988600e+04,9.282200e+04,7.619847e+04,9.066288e+03,7.635500e+04
F6,FPA,1.012940e+05,1.321540e+05,1.156207e+05,1.011394e+04,1.169240e+05
