Function,Algorithm,Run,Best
F1,IFPOA-X,1,4.894392e+04
F1,IFPOA-X,2,5.437169e+04
F1,IFPOA-X,3,4.203349e+04
F1,IFPOA-X,4,3.296980e+04
F1,IFPOA-X,5,4.092532e+04
F1,IFPOA-X,6,3.822435e+04
F1,IFPOA-X,7,6.569432e+04
F1,IFPOA-X,8,5.689005e+04
F1,IFPOA-X,9,4.574324e+04
F1,IFPOA-X,10,4.572486e+04
F1,IFPOA-X,11,2.608305e+04
F1,IFPOA-X,12,5.200814e+04
F1,IFPOA-X,13,4.611538e+04
F1,IFPOA-X,14,4.432725e+04
F1,IFPOA-X,15,3.109302e+04
F1,FPA,1,1.080527e+05
F1,FPA,2,9.732910e+04
F1,FPA,3,1.045551e+05
F1,FPA,4,8.913247e+04
F1,FPA,5,1.228786e+05
F1,FPA,6,9.460379e+04
F1,FPA,7,1.121712e+05
F1,FPA,8,1.293399e+05
F1,FPA,9,1.232864e+05
F1,FPA,10,1.075269e+05
F1,FPA,11,1.077877e+05
F1,FPA,12,1.182808e+05
F1,FPA,13,1.098473e+05
F1,FPA,14,1.128611e+05
F1,FPA,15,1.284479e+05
F1,PSO,1,3.269790e+04
F1,PSO,2,2.917904e+04
F1,PSO,3,3.275629e+04
F1,PSO,4,2.021514e+04
F1,PSO,5,4.746630e+04
F1,PSO,6,5.176935e+04
F1,PSO,7,2.442182e+04
F1,PSO,8,3.762776e+04
F1,PSO,9,5.454479e+04
F1,PSO,10,4.506154e+04
F1,PSO,11,4.338608e+04
F1,PSO,12,3.912677e+04
F1,PSO,13,5.487906e+04
F1,PSO,14,3.616136e+04
F1,PSO,15,3.572903e+04
F1,DE,1,6.578386e+04
F1,DE,2,8.406757e+04
F1,DE,3,6.573758e+04
F1,DE,4,7.756447e+04
F1,DE,5,6.213478e+04
F1,DE,6,5.154470e+04
F1,DE,7,7.432207e+04
F1,DE,8,8.770587e+04
F1,DE,9,8.149437e+04
F1,DE,10,3.755001e+04
F1,DE,11,6.301354e+04
F1,DE,12,7.112875e+04
F1,DE,13,7.530083e+04
F1,DE,14,6.381954e+04
F1,DE,15,7.331942e+04
F1,L-SHADE,1,2.640931e+04
F1,L-SHADE,2,3.931883e+04
F1,L-SHADE,3,1.384861e+04
F1,L-SHADE,4,3.101257e+04
F1,L-SHADE,5,3.142346e+04
F1,L-SHADE,6,2.619882e+04
F1,L-SHADE,7,3.010048e+04
F1,L-SHADE,8,2.607124e+04
F1,L-SHADE,9,1.834413e+04
F1,L-SHADE,10,1.124402e+04
F1,L-SHADE,11,3.528198e+04
F1,L-SHADE,12,2.350685e+04
F1,L-SHADE,13,2.762940e+04
F1,L-SHADE,14,2.209599e+04
F1,L-SHADE,15,1.648348e+04
F1,GWO,1,1.701605e+04
F1,GWO,2,3.996243e+04
F1,GWO,3,9.770819e+03
F1,GWO,4,3.672959e+04
F1,GWO,5,3.659000e+04
F1,GWO,6,3.931308e+04
F1,GWO,7,1.160947e+04
F1,GWO,8,2.916030e+04
F1,GWO,9,1.831800e+04
F1,GWO,10,4.146129e+03
F1,GWO,11,2.811414e+04
F1,GWO,12,2.268711e+04
F1,GWO,13,1.013508e+04
F1,GWO,14,2.130950e+04
F1,GWO,15,3.126094e+04
F1,WOA,1,2.068411e+03
F1,WOA,2,2.001812e+03
F1,WOA,3,2.257413e+03
F1,WOA,4,2.968650e+03
F1,WOA,5,2.593722e+03
F1,WOA,6,2.272521e+03
F1,WOA,7,4.039055e+03
F1,WOA,8,2.238480e+03
F1,WOA,9,2.049739e+03
F1,WOA,10,2.251205e+03
F1,WOA,11,7.519234e+03
F1,WOA,12,2.215985e+03
F1,WOA,13,2.931280e+03
F1,WOA,14,4.300968e+03
F1,WOA,15,3.983807e+03
F1,TPE,1,4.152072e+04
F1,TPE,2,4.755824e+04
F1,TPE,3,7.354617e+04
F1,TPE,4,4.488589e+04
F1,TPE,5,6.774763e+04
F1,TPE,6,4.867833e+04
F1,TPE,7,5.543626e+04
F1,TPE,8,5.160112e+04
F1,TPE,9,4.981679e+04
F1,TPE,10,6.167048e+04
F1,TPE,11,8.766924e+04
F1,TPE,12,5.398771e+04
F1,TPE,13,4.492770e+04
F1,TPE,14,3.722900e+04
F1,TPE,15,3.773321e+04
F2,IFPOA-X,1,7.754282e+05
F2,IFPOA-X,2,2.872157e+05
F2,IFPOA-X,3,2.211877e+05
F2,IFPOA-X,4,7.068421e+08
F2,IFPOA-X,5,9.115817e+06
F2,IFPOA-X,6,4.579679e+04
F2,IFPOA-X,7,1.763245e+09
F2,IFPOA-X,8,3.462802e+07
F2,IFPOA-X,9,8.094285e+07
F2,IFPOA-X,10,9.806478e+08
F2,IFPOA-X,11,2.802502e+05
F2,IFPOA-X,12,1.464039e+06
F2,IFPOA-X,13,4.072746e+08
F2,IFPOA-X,14,3.710260e+08
F2,IFPOA-X,15,1.319738e+05
F2,FPA,1,5.126341e+09
F2,FPA,2,2.988014e+12
F2,FPA,3,1.153757e+11
F2,FPA,4,1.927723e+10
F2,FPA,5,1.231231e+16
F2,FPA,6,1.006670e+11
F2,FPA,7,3.506124e+10
F2,FPA,8,6.712118e+14
F2,FPA,9,9.584227e+14
F2,FPA,10,2.063572e+11
F2,FPA,11,3.160610e+11
F2,FPA,12,2.640892e+10
F2,FPA,13,4.605836e+11
F2,FPA,14,1.493184e+13
F2,FPA,15,1.340337e+15
F2,PSO,1,6.821935e+06
F2,PSO,2,9.792151e+04
F2,PSO,3,4.044294e+05
F2,PSO,4,1.417500e+05
F2,PSO,5,1.493780e+13
F2,PSO,6,1.400740e+08
F2,PSO,7,1.176048e+05
F2,PSO,8,6.829241e+09
F2,PSO,9,3.968534e+09
F2,PSO,10,7.522504e+09
F2,PSO,11,3.305482e+06
F2,PSO,12,3.052213e+11
F2,PSO,13,2.300679e+06
F2,PSO,14,1.203262e+04
F2,PSO,15,7.172230e+05
F2,DE,1,1.664646e+02
F2,DE,2,1.391978e+02
F2,DE,3,1.080085e+02
F2,DE,4,9.747319e+01
F2,DE,5,1.437225e+02
F2,DE,6,1.794864e+02
F2,DE,7,1.313401e+02
F2,DE,8,1.142733e+02
F2,DE,9,1.081906e+02
F2,DE,10,1.056032e+02
F2,DE,11,5.700399e+02
F2,DE,12,1.324502e+02
F2,DE,13,1.196765e+02
F2,DE,14,1.232664e+02
F2,DE,15,1.429242e+02
F2,L-SHADE,1,1.296640e+07
F2,L-SHADE,2,1.489936e+07
F2,L-SHADE,3,9.175180e+02
F2,L-SHADE,4,4.604510e+07
F2,L-SHADE,5,6.950025e+06
F2,L-SHADE,6,5.357104e+06
F2,L-SHADE,7,2.225922e+05
F2,L-SHADE,8,5.741770e+04
