Function,Algorithm,Run,Best
F8,IFPOA-X,1,9.956062e+03
F8,IFPOA-X,2,9.801603e+03
F8,IFPOA-X,3,1.084100e+04
F8,IFPOA-X,4,1.051667e+04
F8,IFPOA-X,5,1.108965e+04
F8,IFPOA-X,6,1.014094e+04
F8,IFPOA-X,7,1.086067e+04
F8,IFPOA-X,8,1.023541e+04
F8,IFPOA-X,9,1.078644e+04
F8,IFPOA-X,10,1.042541e+04
F8,IFPOA-X,11,1.091480e+04
F8,IFPOA-X,12,1.043484e+04
F8,IFPOA-X,13,9.291296e+03
F8,IFPOA-X,14,1.045299e+04
F8,IFPOA-X,15,1.029766e+04
F8,FPA,1,1.058226e+04
F8,FPA,2,1.140514e+04
F8,FPA,3,1.182203e+04
F8,FPA,4,1.010109e+04
F8,FPA,5,1.116185e+04
F8,FPA,6,1.024602e+04
F8,FPA,7,1.171838e+04
F8,FPA,8,8.744092e+03
F8,FPA,9,9.792654e+03
F8,FPA,10,1.064171e+04
F8,FPA,11,1.163217e+04
F8,FPA,12,1.179968e+04
F8,FPA,13,1.223701e+04
F8,FPA,14,1.151138e+04
F8,FPA,15,1.020741e+04
F8,PSO,1,1.044278e+04
F8,PSO,2,1.036115e+04
F8,PSO,3,9.843800e+03
F8,PSO,4,8.384007e+03
F8,PSO,5,9.019526e+03
F8,PSO,6,7.105491e+03
F8,PSO,7,7.667823e+03
F8,PSO,8,7.974274e+03
F8,PSO,9,8.752067e+03
F8,PSO,10,9.527293e+03
F8,PSO,11,1.000579e+04
F8,PSO,12,9.296128e+03
F8,PSO,13,9.307094e+03
F8,PSO,14,9.792691e+03
F8,PSO,15,1.025596e+04
F8,DE,1,8.002217e+03
F8,DE,2,7.188088e+03
F8,DE,3,8.184711e+03
F8,DE,4,7.268533e+03
F8,DE,5,6.236770e+03
F8,DE,6,8.043905e+03
F8,DE,7,8.529716e+03
F8,DE,8,7.156919e+03
F8,DE,9,8.746118e+03
F8,DE,10,8.566914e+03
F8,DE,11,7.935577e+03
F8,DE,12,8.188983e+03
F8,DE,13,7.761352e+03
F8,DE,14,7.814734e+03
F8,DE,15,8.895987e+03
F8,L-SHADE,1,1.009407e+04
F8,L-SHADE,2,9.678248e+03
F8,L-SHADE,3,1.119658e+04
F8,L-SHADE,4,1.008180e+04
F8,L-SHADE,5,1.046170e+04
F8,L-SHADE,6,1.080603e+04
F8,L-SHADE,7,1.070360e+04
F8,L-SHADE,8,1.058961e+04
F8,L-SHADE,9,1.100912e+04
F8,L-SHADE,10,1.071916e+04
F8,L-SHADE,11,9.536165e+03
F8,L-SHADE,12,1.043584e+04
F8,L-SHADE,13,1.060778e+04
F8,L-SHADE,14,9.709366e+03
F8,L-SHADE,15,9.799195e+03
F8,GWO,1,6.131435e+03
F8,GWO,2,9.328169e+03
F8,GWO,3,1.049826e+04
F8,GWO,4,6.801085e+03
F8,GWO,5,7.744164e+03
F8,GWO,6,7.950521e+03
F8,GWO,7,1.120537e+04
F8,GWO,8,1.007573e+04
F8,GWO,9,1.038841e+04
F8,GWO,10,9.327012e+03
F8,GWO,11,6.169694e+03
F8,GWO,12,1.198831e+04
F8,GWO,13,8.650618e+03
F8,GWO,14,7.947274e+03
F8,GWO,15,7.161977e+03
F8,WOA,1,7.789729e+03
F8,WOA,2,9.497200e+03
F8,WOA,3,9.518717e+03
F8,WOA,4,9.463585e+03
F8,WOA,5,9.159006e+03
F8,WOA,6,8.127838e+03
F8,WOA,7,8.360301e+03
F8,WOA,8,8.829469e+03
F8,WOA,9,1.004988e+04
F8,WOA,10,7.866393e+03
F8,WOA,11,7.960665e+03
F8,WOA,12,6.908693e+03
F8,WOA,13,8.714055e+03
F8,WOA,14,9.510439e+03
F8,WOA,15,8.897723e+03
F8,TPE,1,8.647161e+03
F8,TPE,2,9.062702e+03
F8,TPE,3,8.679569e+03
F8,TPE,4,8.367857e+03
F8,TPE,5,9.084422e+03
F8,TPE,6,9.295618e+03
F8,TPE,7,1.045702e+04
F8,TPE,8,8.526664e+03
F8,TPE,9,8.442822e+03
F8,TPE,10,9.886336e+03
F8,TPE,11,8.358905e+03
F8,TPE,12,8.630707e+03
F8,TPE,13,8.632287e+03
F8,TPE,14,9.340672e+03
F8,TPE,15,9.439829e+03
