Function,Algorithm,Best,Worst,Mean,Std,Median
F1,DE,2.094611e+04,6.073650e+04,3.866384e+04,1.125789e+04,3.557210e+04
F1,FPA,2.556676e+04,5.465655e+04,4.085268e+04,7.698193e+03,3.938948e+04
F1,GWO,5.483042e+03,1.757323e+04,1.220894e+04,3.765018e+03,1.295715e+04
F1,IFPOA-X,2.274048e+04,4.044251e+04,3.242296e+04,5.377683e+03,3.268133e+04
F1,L-SHADE,1.163229e+04,2.465995e+04,1.855252e+04,3.443198e+03,1.972702e+04
F1,PSO,1.096388e+04,3.336303e+04,2.200005e+04,5.711152e+03,2.232313e+04
F1,TPE,2.003868e+04,4.088340e+04,2.972928e+04,5.259752e+03,3.077493e+04
F1,WOA,3.945479e+04,5.756469e+04,4.743253e+04,5.586749e+03,4.533621e+04
F10,DE,1.787404e+01,2.057538e+01,1.971170e+01,7.245344e-01,1.994276e+01
F10,FPA,1.969105e+01,2.045995e+01,2.007557e+01,2.092789e-01,2.004064e+01
F10,GWO,1.495527e+01,2.045793e+01,1.779573e+01,1.720457e+00,1.803070e+01
F10,IFPOA-X,1.935026e+01,2.055991e+01,1.987067e+01,3.704980e-01,1.984000e+01
F10,L-SHADE,1.681044e+01,2.042092e+01,1.850691e+01,1.012311e+00,1.849010e+01
F10,PSO,1.920773e+01,2.088739e+01,1.979123e+01,4.493036e-01,1.981227e+01
F10,TPE,1.765121e+01,2.055869e+01,1.913694e+01,7.258552e-01,1.920433e+01
F10,WOA,2.017622e+01,2.116188e+01,2.062958e+01,3.068486e-01,2.055903e+01
F11,DE,2.056709e+02,7.039331e+02,4.804566e+02,1.599409e+02,4.865740e+02
F11,FPA,3.994210e+02,6.622176e+02,5.228969e+02,7.688177e+01,4.916963e+02
F11,GWO,7.481562e+01,1.699979e+02,1.102678e+02,2.694802e+01,1.088100e+02
F11,IFPOA-X,2.039149e+02,5.152487e+02,3.496625e+02,8.808876e+01,3.280652e+02
F11,L-SHADE,9.506978e+01,2.629524e+02,1.757956e+02,4.630751e+01,1.633111e+02
F11,PSO,1.694207e+02,3.314607e+02,2.476355e+02,4.713969e+01,2.428330e+02
F11,TPE,1.715685e+02,4.432172e+02,3.035061e+02,7.962810e+01,3.053330e+02
F11,WOA,2.874028e+02,5.553135e+02,4.515434e+02,8.195714e+01,4.554007e+02
F12,DE,6.896708e+07,5.721813e+08,3.406285e+08,1.469925e+08,3.339913e+08
F12,FPA,5.015742e+07,2.098648e+08,1.280513e+08,5.257197e+07,1.113501e+08
F12,GWO,2.391617e+06,5.527632e+07,1.577443e+07,1.445082e+07,1.091464e+07
F12,IFPOA-X,5.010397e+07,3.423387e+08,1.343046e+08,8.620085e+07,1.019273e+08
F12,L-SHADE,6.479764e+06,8.876020e+07,3.116649e+07,2.144213e+07,3.097083e+07
F12,PSO,1.136854e+07,8.083123e+07,4.403039e+07,2.487900e+07,3.645083e+07
F12,TPE,1.781170e+07,3.429972e+08,1.325218e+08,1.048081e+08,9.419602e+07
F12,WOA,8.275464e+07,2.157450e+08,1.600607e+08,4.119447e+07,1.581880e+08
F13,DE,2.597092e+08,3.217048e+09,1.137612e+09,7.523378e+08,1.258230e+09
F13,FPA,3.663795e+08,1.130595e+09,6.360143e+08,1.883326e+08,6.227198e+08
F13,GWO,9.534083e+05,2.587969e+08,1.036945e+08,7.610772e+07,1.028488e+08
F13,IFPOA-X,2.578640e+08,9.798741e+08,5.147718e+08,1.675953e+08,4.873523e+08
F13,L-SHADE,4.075843e+07,7.600491e+08,2.246686e+08,1.835789e+08,1.631572e+08
F13,PSO,9.282250e+07,8.180147e+08,3.035216e+08,2.182121e+08,2.658615e+08
F13,TPE,1.264297e+08,1.019090e+09,4.210310e+08,2.909716e+08,3.180508e+08
F13,WOA,3.559929e+08,8.524590e+08,6.824587e+08,1.554022e+08,7.250547e+08
F2,DE,6.149221e+01,1.158749e+02,9.072684e+01,1.546226e+01,9.211601e+01
F2,FPA,1.596033e+04,2.210038e+10,1.911810e+09,5.700329e+09,1.334780e+07
F2,GWO,6.449447e+01,8.936892e+02,1.392088e+02,2.089819e+02,8.786118e+01
F2,IFPOA-X,1.649004e+02,2.045356e+08,1.623393e+07,5.262712e+07,3.165227e+05
F2,L-SHADE,7.415017e+01,1.374137e+05,1.445119e+04,3.576739e+04,6.884777e+02
F2,PSO,9.413539e+01,4.937065e+08,3.292625e+07,1.274710e+08,2.772936e+02
F2,TPE,7.771461e+01,8.540005e+03,1.271202e+03,2.901416e+03,1.032754e+02
F2,WOA,1.212725e+02,9.663033e+07,7.525431e+06,2.489092e+07,3.228903e+03
F3,DE,4.604291e+04,1.203948e+05,8.332616e+04,1.820455e+04,8.242793e+04
F3,FPA,5.657476e+04,1.617110e+05,9.917944e+04,3.165408e+04,9.455646e+04
F3,GWO,3.453418e+04,6.538793e+04,4.628367e+04,9.939255e+03,4.345443e+04
F3,IFPOA-X,5.508812e+04,1.391864e+05,9.483875e+04,2.325529e+04,9.665467e+04
F3,L-SHADE,4.859462e+04,1.220202e+05,6.754642e+04,1.765990e+04,6.300579e+04
F3,PSO,2.634460e+04,8.676043e+04,5.676841e+04,1.689061e+04,6.053701e+04
F3,TPE,3.246350e+04,8.562670e+04,5.859539e+04,1.419079e+04,6.322336e+04
F3,WOA,6.661855e+04,3.257335e+05,1.964825e+05,7.641655e+04,1.888635e+05
F4,DE,7.478491e+01,1.083935e+02,9.510681e+01,1.057258e+01,9.672103e+01
F4,FPA,5.849940e+01,8.365088e+01,7.273881e+01,7.613061e+00,7.076209e+01
F4,GWO,4.378674e+01,6.623699e+01,5.827864e+01,6.200498e+00,5.966778e+01
F4,IFPOA-X,5.834824e+01,9.276745e+01,7.090218e+01,1.022325e+01,6.812521e+01
F4,L-SHADE,5.174155e+01,8.373276e+01,7.174523e+01,8.336898e+00,7.427490e+01
F4,PSO,5.506517e+01,7.244246e+01,6.433750e+01,4.650631e+00,6.517634e+01
F4,TPE,5.490614e+01,8.466906e+01,6.732746e+01,9.511497e+00,6.884248e+01
F4,WOA,8.355774e+01,1.319718e+02,1.060374e+02,1.449536e+01,1.065990e+02
F5,DE,7.613230e+07,2.436641e+08,1.440087e+08,4.218141e+07,1.508050e+08
F5,FPA,8.079054e+07,1.896908e+08,1.197271e+08,2.896711e+07,1.164301e+08
F5,GWO,7.344557e+06,4.784985e+07,1.797318e+07,9.887312e+06,1.566365e+07
F5,IFPOA-X,4.194525e+07,1.408586e+08,9.928684e+07,2.617844e+07,9.659562e+07
