Function,Algorithm,Run,Best
F1,IFPOA-X,1,2.805321e+04
F1,IFPOA-X,2,2.924338e+04
F1,IFPOA-X,3,3.810286e+04
F1,IFPOA-X,4,4.044251e+04
F1,IFPOA-X,5,3.268133e+04
F1,IFPOA-X,6,2.274048e+04
F1,IFPOA-X,7,3.349937e+04
F1,IFPOA-X,8,3.776438e+04
F1,IFPOA-X,9,3.454581e+04
F1,IFPOA-X,10,2.831034e+04
F1,IFPOA-X,11,2.647592e+04
F1,IFPOA-X,12,3.593870e+04
F1,IFPOA-X,13,4.013652e+04
F1,IFPOA-X,14,3.096931e+04
F1,IFPOA-X,15,2.744027e+04
F1,FPA,1,3.979604e+04
F1,FPA,2,4.537447e+04
F1,FPA,3,3.691307e+04
F1,FPA,4,5.465655e+04
F1,FPA,5,4.434274e+04
F1,FPA,6,2.556676e+04
F1,FPA,7,3.479995e+04
F1,FPA,8,3.685745e+04
F1,FPA,9,4.142473e+04
F1,FPA,10,3.439318e+04
F1,FPA,11,3.938948e+04
F1,FPA,12,4.834943e+04
F1,FPA,13,3.803717e+04
F1,FPA,14,5.459144e+04
F1,FPA,15,3.829776e+04
F1,PSO,1,1.096388e+04
F1,PSO,2,3.336303e+04
F1,PSO,3,2.109104e+04
F1,PSO,4,2.769947e+04
F1,PSO,5,2.466262e+04
F1,PSO,6,1.966608e+04
F1,PSO,7,2.613916e+04
F1,PSO,8,2.728868e+04
F1,PSO,9,2.232313e+04
F1,PSO,10,1.923707e+04
F1,PSO,11,1.777490e+04
F1,PSO,12,2.364380e+04
F1,PSO,13,1.718210e+04
F1,PSO,14,2.451288e+04
F1,PSO,15,1.445288e+04
F1,DE,1,5.387316e+04
F1,DE,2,5.051822e+04
F1,DE,3,3.530655e+04
F1,DE,4,3.492464e+04
F1,DE,5,3.751236e+04
F1,DE,6,3.256669e+04
F1,DE,7,3.557210e+04
F1,DE,8,2.094611e+04
F1,DE,9,5.111787e+04
F1,DE,10,3.029726e+04
F1,DE,11,2.405103e+04
F1,DE,12,3.990429e+04
F1,DE,13,6.073650e+04
F1,DE,14,3.011578e+04
F1,DE,15,4.251508e+04
F1,L-SHADE,1,2.190502e+04
F1,L-SHADE,2,1.507213e+04
F1,L-SHADE,3,1.772334e+04
F1,L-SHADE,4,2.032042e+04
F1,L-SHADE,5,1.972702e+04
F1,L-SHADE,6,1.995445e+04
F1,L-SHADE,7,2.465995e+04
F1,L-SHADE,8,1.463818e+04
F1,L-SHADE,9,1.759638e+04
F1,L-SHADE,10,2.071682e+04
F1,L-SHADE,11,1.442247e+04
F1,L-SHADE,12,1.163229e+04
F1,L-SHADE,13,2.010602e+04
F1,L-SHADE,14,2.167011e+04
F1,L-SHADE,15,1.814320e+04
F1,GWO,1,5.483042e+03
F1,GWO,2,1.643861e+04
F1,GWO,3,1.088027e+04
F1,GWO,4,1.335258e+04
F1,GWO,5,1.622433e+04
F1,GWO,6,1.757323e+04
F1,GWO,7,1.091561e+04
F1,GWO,8,8.024804e+03
F1,GWO,9,8.095740e+03
F1,GWO,10,6.932927e+03
F1,GWO,11,1.477148e+04
F1,GWO,12,1.513331e+04
F1,GWO,13,1.488924e+04
F1,GWO,14,1.146185e+04
F1,GWO,15,1.295715e+04
F1,WOA,1,4.466293e+04
F1,WOA,2,4.316571e+04
F1,WOA,3,4.483869e+04
F1,WOA,4,4.065357e+04
F1,WOA,5,4.533621e+04
F1,WOA,6,5.120209e+04
F1,WOA,7,5.231306e+04
F1,WOA,8,4.756138e+04
F1,WOA,9,5.078869e+04
F1,WOA,10,3.945479e+04
F1,WOA,11,4.296702e+04
F1,WOA,12,5.738705e+04
F1,WOA,13,5.756469e+04
F1,WOA,14,4.984184e+04
F1,WOA,15,4.375030e+04
F1,TPE,1,2.760532e+04
F1,TPE,2,2.525704e+04
F1,TPE,3,3.077493e+04
F1,TPE,4,2.415396e+04
F1,TPE,5,2.488221e+04
F1,TPE,6,3.454654e+04
F1,TPE,7,4.088340e+04
F1,TPE,8,3.233574e+04
F1,TPE,9,3.129270e+04
F1,TPE,10,3.524036e+04
F1,TPE,11,2.552869e+04
F1,TPE,12,3.097403e+04
F1,TPE,13,2.003868e+04
F1,TPE,14,3.230642e+04
F1,TPE,15,3.011915e+04
F2,IFPOA-X,1,2.836937e+03
F2,IFPOA-X,2,5.027732e+05
F2,IFPOA-X,3,1.649004e+02
F2,IFPOA-X,4,4.314467e+05
F2,IFPOA-X,5,3.165227e+05
F2,IFPOA-X,6,2.045356e+08
F2,IFPOA-X,7,5.269368e+06
F2,IFPOA-X,8,5.357188e+04
F2,IFPOA-X,9,7.393693e+02
F2,IFPOA-X,10,4.048057e+05
F2,IFPOA-X,11,3.123191e+05
F2,IFPOA-X,12,1.250186e+05
F2,IFPOA-X,13,5.927038e+03
F2,IFPOA-X,14,2.233723e+06
F2,IFPOA-X,15,2.931408e+07
F2,FPA,1,2.210038e+10
F2,FPA,2,6.749092e+07
F2,FPA,3,4.052612e+06
F2,FPA,4,5.409789e+05
F2,FPA,5,5.356657e+08
F2,FPA,6,2.270104e+06
F2,FPA,7,4.439281e+09
F2,FPA,8,4.206076e+08
F2,FPA,9,1.008642e+05
F2,FPA,10,1.596033e+04
F2,FPA,11,2.149801e+07
F2,FPA,12,3.794880e+05
F2,FPA,13,6.287580e+06
F2,FPA,14,1.065236e+09
F2,FPA,15,1.334780e+07
F2,PSO,1,4.937065e+08
F2,PSO,2,8.063461e+04
F2,PSO,3,1.255003e+02
F2,PSO,4,1.111025e+02
F2,PSO,5,3.538893e+04
F2,PSO,6,2.403473e+03
F2,PSO,7,3.880686e+03
F2,PSO,8,9.830854e+01
F2,PSO,9,9.413539e+01
F2,PSO,10,1.474371e+02
F2,PSO,11,2.772936e+02
F2,PSO,12,4.863671e+04
F2,PSO,13,1.525823e+04
F2,PSO,14,9.692148e+01
F2,PSO,15,1.680074e+02
F2,DE,1,7.987053e+01
F2,DE,2,8.991853e+01
F2,DE,3,1.092047e+02
F2,DE,4,9.832977e+01
F2,DE,5,8.728922e+01
F2,DE,6,9.211601e+01
F2,DE,7,6.789895e+01
F2,DE,8,7.561721e+01
F2,DE,9,1.158749e+02
F2,DE,10,6.149221e+01
F2,DE,11,9.454975e+01
F2,DE,12,1.078534e+02
F2,DE,13,1.030757e+02
F2,DE,14,9.639197e+01
F2,DE,15,8.141970e+01
F2,L-SHADE,1,5.169440e+02
F2,L-SHADE,2,7.415017e+01
F2,L-SHADE,3,3.300457e+02
F2,L-SHADE,4,2.360025e+02
F2,L-SHADE,5,5.509296e+02
F2,L-SHADE,6,1.251313e+03
F2,L-SHADE,7,1.374137e+05
F2,L-SHADE,8,3.840358e+03
F2,L-SHADE,9,8.020864e+01
F2,L-SHADE,10,2.700128e+04
F2,L-SHADE,11,6.884777e+02
F2,L-SHADE,12,5.598798e+03
F2,L-SHADE,13,1.713652e+03
F2,L-SHADE,14,3.713919e+04
F2,L-SHADE,15,3.327651e+02
F2,GWO,1,7.542498e+01
F2,GWO,2,8.786118e+01
F2,GWO,3,8.643111e+01
F2,GWO,4,8.877393e+01
F2,GWO,5,6.449447e+01
F2,GWO,6,8.013072e+01
F2,GWO,7,9.214282e+01
F2,GWO,8,8.936892e+02
F2,GWO,9,7.609151e+01
F2,GWO,10,9.708095e+01
F2,GWO,11,7.340777e+01
F2,GWO,12,9.186972e+01
F2,GWO,13,1.032027e+02
F2,GWO,14,9.744800e+01
F2,GWO,15,8.008331e+01
F2,WOA,1,2.776204e+05
F2,WOA,2,2.169360e+02
F2,WOA,3,2.843248e+04
F2,WOA,4,3.228903e+03
F2,WOA,5,2.431598e+04
F2,WOA,6,8.968829e+02
F2,WOA,7,1.212725e+02
F2,WOA,8,8.081786e+02
F2,WOA,9,9.663033e+07
F2,WOA,10,4.761022e+02
F2,WOA,11,2.469385e+02
F2,WOA,12,1.682582e+06
F2,WOA,13,1.946304e+03
F2,WOA,14,7.233704e+05
F2,WOA,15,1.350687e+07
F2,TPE,1,8.373635e+01
F2,TPE,2,8.540005e+03
F2,TPE,3,7.771461e+01
F2,TPE,4,1.818370e+02
F2,TPE,5,9.094224e+01
F2,TPE,6,8.199402e+01
F2,TPE,7,1.299131e+02
F2,TPE,8,1.032754e+02
F2,TPE,9,8.212436e+02
F2,TPE,10,8.144410e+01
F2,TPE,11,9.042481e+01
F2,TPE,12,9.175247e+01
F2,TPE,13,8.262428e+03
F2,TPE,14,3.038900e+02
F2,TPE,15,1.274256e+02
F3,IFPOA-X,1,1.391864e+05
F3,IFPOA-X,2,9.665467e+04
F3,IFPOA-X,3,1.031360e+05
