Function,Variant,Run,Best
F1,IFPOA-X (no OBL),1,3.266564e+04
F1,IFPOA-X (no OBL),2,2.654923e+04
F1,IFPOA-X (no OBL),3,3.519648e+04
F1,IFPOA-X (no OBL),4,2.902403e+04
F1,IFPOA-X (no OBL),5,4.306962e+04
F1,IFPOA-X (no OBL),6,2.623141e+04
F1,IFPOA-X (no OBL),7,3.457519e+04
F1,IFPOA-X (no OBL),8,3.785610e+04
F1,IFPOA-X (no OBL),9,4.356136e+04
F1,IFPOA-X (no OBL),10,2.860802e+04
F1,IFPOA-X (no OBL),11,3.198973e+04
F1,IFPOA-X (no OBL),12,4.594550e+04
F1,IFPOA-X (no OBL),13,3.820851e+04
F1,IFPOA-X (no OBL),14,2.679535e+04
F1,IFPOA-X (no OBL),15,3.096207e+04
F1,IFPOA-X (no OBL),16,3.838801e+04
F1,IFPOA-X (no OBL),17,5.339326e+04
F1,IFPOA-X (no OBL),18,2.170981e+04
F1,IFPOA-X (no OBL),19,2.665061e+04
F1,IFPOA-X (no OBL),20,2.810790e+04
F1,IFPOA-X (base/FPA),1,3.155840e+04
F1,IFPOA-X (base/FPA),2,2.665604e+04
F1,IFPOA-X (base/FPA),3,3.180146e+04
F1,IFPOA-X (base/FPA),4,3.932680e+04
F1,IFPOA-X (base/FPA),5,2.578309e+04
F1,IFPOA-X (base/FPA),6,2.884101e+04
F1,IFPOA-X (base/FPA),7,3.185198e+04
F1,IFPOA-X (base/FPA),8,3.938427e+04
F1,IFPOA-X (base/FPA),9,3.281975e+04
F1,IFPOA-X (base/FPA),10,4.529408e+04
F1,IFPOA-X (base/FPA),11,3.302092e+04
F1,IFPOA-X (base/FPA),12,3.708213e+04
F1,IFPOA-X (base/FPA),13,4.214194e+04
F1,IFPOA-X (base/FPA),14,4.019745e+04
F1,IFPOA-X (base/FPA),15,4.302520e+04
F1,IFPOA-X (base/FPA),16,3.885442e+04
F1,IFPOA-X (base/FPA),17,5.501580e+04
F1,IFPOA-X (base/FPA),18,3.313044e+04
F1,IFPOA-X (base/FPA),19,3.643788e+04
F1,IFPOA-X (base/FPA),20,3.883652e+04
F2,IFPOA-X (no OBL),1,4.025424e+04
F2,IFPOA-X (no OBL),2,1.169704e+06
F2,IFPOA-X (no OBL),3,4.560336e+06
F2,IFPOA-X (no OBL),4,1.738304e+05
F2,IFPOA-X (no OBL),5,4.089796e+04
F2,IFPOA-X (no OBL),6,1.589468e+03
F2,IFPOA-X (no OBL),7,4.169660e+06
F2,IFPOA-X (no OBL),8,1.287307e+05
F2,IFPOA-X (no OBL),9,1.378421e+07
F2,IFPOA-X (no OBL),10,1.594962e+05
F2,IFPOA-X (no OBL),11,6.443406e+05
F2,IFPOA-X (no OBL),12,1.302997e+06
F2,IFPOA-X (no OBL),13,2.940121e+05
F2,IFPOA-X (no OBL),14,2.321397e+04
F2,IFPOA-X (no OBL),15,5.396848e+07
F2,IFPOA-X (no OBL),16,1.141755e+06
F2,IFPOA-X (no OBL),17,1.413027e+05
F2,IFPOA-X (no OBL),18,1.701479e+07
F2,IFPOA-X (no OBL),19,2.625315e+04
F2,IFPOA-X (no OBL),20,9.495446e+05
F2,IFPOA-X (base/FPA),1,5.718593e+04
F2,IFPOA-X (base/FPA),2,1.102809e+06
F2,IFPOA-X (base/FPA),3,3.566386e+07
F2,IFPOA-X (base/FPA),4,1.538584e+05
F2,IFPOA-X (base/FPA),5,8.466530e+05
F2,IFPOA-X (base/FPA),6,1.574947e+06
F2,IFPOA-X (base/FPA),7,1.621306e+08
F2,IFPOA-X (base/FPA),8,3.812853e+05
F2,IFPOA-X (base/FPA),9,3.205112e+06
F2,IFPOA-X (base/FPA),10,7.175919e+04
F2,IFPOA-X (base/FPA),11,6.502116e+02
F2,IFPOA-X (base/FPA),12,9.168663e+02
F2,IFPOA-X (base/FPA),13,8.504896e+04
F2,IFPOA-X (base/FPA),14,3.809884e+07
F2,IFPOA-X (base/FPA),15,6.591917e+06
