Function,Algorithm,Best,Worst,Mean,Std,Median
F1,DE,3.098912e+04,5.791159e+04,4.021219e+04,7.920444e+03,3.933274e+04
F1,FPA,3.469600e+04,5.726052e+04,4.764834e+04,7.111782e+03,4.813988e+04
F1,GWO,4.373161e+03,1.872426e+04,1.086102e+04,3.805873e+03,1.204872e+04
F1,IFPOA-X,2.543797e+04,4.727738e+04,3.389633e+04,5.829839e+03,3.376370e+04
F1,L-SHADE,7.641135e+03,2.876234e+04,1.658394e+04,5.499550e+03,1.635278e+04
F1,PSO,1.418768e+04,4.017968e+04,2.513911e+04,6.810043e+03,2.568414e+04
F1,TPE,2.040460e+04,4.280243e+04,3.332577e+04,5.994826e+03,3.247085e+04
F1,WOA,4.365688e+03,1.379652e+04,8.009047e+03,2.712123e+03,7.087909e+03
F10,DE,1.851417e+01,2.051737e+01,1.972413e+01,5.310965e-01,1.988342e+01
F10,FPA,2.003690e+01,2.081183e+01,2.041389e+01,2.386989e-01,2.038171e+01
F10,GWO,1.474810e+01,2.071960e+01,1.823846e+01,1.567494e+00,1.846162e+01
F10,IFPOA-X,2.000994e+01,2.084664e+01,2.028537e+01,2.386615e-01,2.021948e+01
F10,L-SHADE,1.717092e+01,2.062699e+01,1.887270e+01,1.034834e+00,1.868191e+01
F10,PSO,1.868062e+01,2.103297e+01,2.021041e+01,5.910815e-01,2.030362e+01
F10,TPE,1.817661e+01,2.009642e+01,1.925198e+01,5.447266e-01,1.941924e+01
F10,WOA,1.313144e+01,1.742928e+01,1.486775e+01,1.180601e+00,1.478112e+01
F11,DE,2.317205e+02,4.690571e+02,3.615765e+02,7.704311e+01,3.654529e+02
F11,FPA,3.278755e+02,6.168730e+02,4.413744e+02,6.694991e+01,4.404764e+02
F11,GWO,3.935898e+01,1.991472e+02,1.078072e+02,4.542335e+01,9.922702e+01
F11,IFPOA-X,1.880132e+02,5.244420e+02,3.155714e+02,7.646352e+01,3.177738e+02
F11,L-SHADE,8.599375e+01,2.261448e+02,1.630853e+02,3.965483e+01,1.715380e+02
F11,PSO,1.054111e+02,3.850728e+02,2.330797e+02,7.582803e+01,2.298558e+02
F11,TPE,1.908608e+02,4.162174e+02,2.973695e+02,6.195363e+01,2.954178e+02
F11,WOA,3.504792e+01,2.117769e+02,8.600884e+01,3.882441e+01,8.465958e+01
F12,DE,1.403610e+08,1.125050e+09,4.866100e+08,2.531940e+08,4.973448e+08
F12,FPA,1.346313e+08,5.121013e+08,2.691009e+08,1.097983e+08,2.451910e+08
F12,GWO,1.376381e+06,8.806729e+07,2.150634e+07,2.462104e+07,9.997690e+06
F12,IFPOA-X,2.879777e+07,4.002569e+08,2.002257e+08,1.037146e+08,2.096570e+08
F12,L-SHADE,4.843546e+06,1.681152e+08,5.143288e+07,4.343277e+07,3.681087e+07
F12,PSO,1.602605e+07,3.595996e+08,1.149401e+08,8.332914e+07,9.984080e+07
F12,TPE,9.944464e+06,3.319459e+08,1.333279e+08,8.979458e+07,1.199992e+08
F12,WOA,2.141370e+04,6.014068e+06,1.696795e+06,2.135986e+06,3.509888e+05
F13,DE,2.516507e+08,2.142241e+09,7.366028e+08,4.598368e+08,6.171188e+08
F13,FPA,2.917478e+08,7.027654e+08,5.293818e+08,1.166096e+08,5.311842e+08
F13,GWO,3.441540e+06,1.965372e+08,8.150272e+07,5.226160e+07,7.611286e+07
F13,IFPOA-X,1.486211e+08,9.417789e+08,4.597164e+08,1.868301e+08,4.730166e+08
F13,L-SHADE,6.481731e+07,2.690707e+08,1.364841e+08,5.940199e+07,1.314536e+08
F13,PSO,7.210935e+07,4.813708e+08,2.476007e+08,1.127865e+08,2.242472e+08
F13,TPE,1.290862e+08,6.367197e+08,3.141658e+08,1.697269e+08,2.778157e+08
F13,WOA,4.138837e+05,4.294912e+07,9.808651e+06,1.059626e+07,5.387459e+06
F2,DE,6.525140e+01,1.250532e+02,9.258305e+01,1.586604e+01,9.306448e+01
F2,FPA,1.170120e+02,6.254149e+10,6.365276e+09,1.840502e+10,5.821494e+05
F2,GWO,4.683690e+01,4.867637e+07,2.434965e+06,1.088410e+07,8.159005e+01
F2,IFPOA-X,1.266095e+02,8.387155e+07,1.051758e+07,1.993822e+07,8.978806e+05
F2,L-SHADE,6.706321e+01,6.263487e+06,4.145898e+05,1.419368e+06,4.897136e+02
F2,PSO,8.180707e+01,5.882430e+05,5.812987e+04,1.411766e+05,6.377976e+03
F2,TPE,7.884617e+01,1.457574e+04,1.229625e+03,3.312202e+03,1.242896e+02
F2,WOA,2.921736e+01,1.558462e+05,1.292532e+04,3.640827e+04,1.043855e+02
F3,DE,3.441994e+04,3.775329e+05,1.485463e+05,9.747393e+04,1.052980e+05
F3,FPA,3.135783e+06,1.142772e+07,6.893042e+06,2.121771e+06,6.915524e+06
F3,GWO,1.662196e+04,4.795390e+04,2.676772e+04,8.472233e+03,2.566321e+04
F3,IFPOA-X,4.130863e+04,1.499458e+05,8.965947e+04,3.037773e+04,8.666840e+04
F3,L-SHADE,3.645809e+04,1.015870e+05,4.929103e+04,1.538823e+04,4.158701e+04
F3,PSO,6.362114e+04,6.861980e+05,1.979823e+05,1.539901e+05,1.258670e+05
F3,TPE,3.319639e+04,1.651628e+05,7.692593e+04,4.068818e+04,6.308571e+04
F3,WOA,5.517474e+04,2.339070e+05,1.195180e+05,5.345284e+04,9.996298e+04
F4,DE,6.650518e+01,1.218366e+02,8.829078e+01,1.331620e+01,8.754783e+01
F4,FPA,6.508753e+01,8.719562e+01,7.437944e+01,5.750103e+00,7.335387e+01
F4,GWO,5.165297e+01,7.461590e+01,6.182173e+01,6.715840e+00,6.095082e+01
F4,IFPOA-X,6.459550e+01,9.975567e+01,7.536500e+01,1.004172e+01,7.394483e+01
F4,L-SHADE,6.472593e+01,8.809032e+01,7.492516e+01,6.822686e+00,7.497996e+01
F4,PSO,5.718820e+01,9.077152e+01,6.919157e+01,8.851015e+00,6.839381e+01
F4,TPE,5.587786e+01,9.010481e+01,7.445277e+01,9.949421e+00,7.514675e+01
F4,WOA,3.296180e+01,6.013705e+01,4.763249e+01,7.565209e+00,4.743130e+01
F5,DE,3.397557e+07,2.401005e+08,1.351396e+08,6.404931e+07,1.269898e+08
F5,FPA,7.877720e+07,1.669946e+08,1.134908e+08,2.543847e+07,1.085517e+08
