Function,Algorithm,Run,Best
F1,IFPOA-X,1,2.543797e+04
F1,IFPOA-X,2,2.706809e+04
F1,IFPOA-X,3,3.066357e+04
F1,IFPOA-X,4,3.387190e+04
F1,IFPOA-X,5,3.877697e+04
F1,IFPOA-X,6,3.365550e+04
F1,IFPOA-X,7,4.727738e+04
F1,IFPOA-X,8,4.542568e+04
F1,IFPOA-X,9,3.509322e+04
F1,IFPOA-X,10,3.041502e+04
F1,IFPOA-X,11,3.756126e+04
F1,IFPOA-X,12,2.736661e+04
F1,IFPOA-X,13,3.528295e+04
F1,IFPOA-X,14,3.286546e+04
F1,IFPOA-X,15,2.877150e+04
F1,IFPOA-X,16,2.754049e+04
F1,IFPOA-X,17,3.151815e+04
F1,IFPOA-X,18,3.516908e+04
F1,IFPOA-X,19,3.439735e+04
F1,IFPOA-X,20,3.976853e+04
F1,FPA,1,3.921559e+04
F1,FPA,2,3.990616e+04
F1,FPA,3,4.730336e+04
F1,FPA,4,3.469600e+04
F1,FPA,5,4.792043e+04
F1,FPA,6,3.607816e+04
F1,FPA,7,5.541714e+04
F1,FPA,8,5.548714e+04
F1,FPA,9,5.533849e+04
F1,FPA,10,4.836924e+04
F1,FPA,11,4.719097e+04
F1,FPA,12,4.910750e+04
F1,FPA,13,4.403692e+04
F1,FPA,14,4.835932e+04
F1,FPA,15,5.726052e+04
F1,FPA,16,5.250450e+04
F1,FPA,17,5.668775e+04
F1,FPA,18,5.397267e+04
F1,FPA,19,3.814927e+04
F1,FPA,20,4.596559e+04
F1,PSO,1,2.299395e+04
F1,PSO,2,3.269530e+04
F1,PSO,3,3.127871e+04
F1,PSO,4,2.570860e+04
F1,PSO,5,3.325784e+04
F1,PSO,6,1.439982e+04
F1,PSO,7,2.203240e+04
F1,PSO,8,1.775255e+04
F1,PSO,9,2.812526e+04
F1,PSO,10,2.653821e+04
F1,PSO,11,2.026950e+04
F1,PSO,12,1.988557e+04
F1,PSO,13,2.831410e+04
F1,PSO,14,3.124829e+04
F1,PSO,15,1.418768e+04
F1,PSO,16,4.017968e+04
F1,PSO,17,2.809313e+04
F1,PSO,18,1.691302e+04
F1,PSO,19,2.565969e+04
F1,PSO,20,2.324893e+04
F1,DE,1,3.300562e+04
F1,DE,2,3.270581e+04
F1,DE,3,3.318705e+04
F1,DE,4,3.703279e+04
F1,DE,5,3.273901e+04
F1,DE,6,4.615633e+04
F1,DE,7,4.288475e+04
F1,DE,8,4.228122e+04
F1,DE,9,4.163268e+04
F1,DE,10,3.434703e+04
F1,DE,11,5.063428e+04
F1,DE,12,3.098912e+04
F1,DE,13,3.122332e+04
F1,DE,14,3.687653e+04
F1,DE,15,3.232827e+04
F1,DE,16,5.130317e+04
F1,DE,17,4.390105e+04
F1,DE,18,5.791159e+04
F1,DE,19,4.843998e+04
F1,DE,20,4.466422e+04
F1,L-SHADE,1,9.534094e+03
F1,L-SHADE,2,2.876234e+04
F1,L-SHADE,3,1.801056e+04
F1,L-SHADE,4,1.931809e+04
F1,L-SHADE,5,1.588265e+04
F1,L-SHADE,6,1.642214e+04
F1,L-SHADE,7,2.104545e+04
F1,L-SHADE,8,1.409428e+04
